"c_name","source","r_id","r_year","r_month","r_swt","r_female","p_ideology","p_interest","p_economy","d_essential","core_values","c_govern","i_trust"
"Algeria","ArabBarometer",1,"2020","August",4,"Female",NA,"Less than once a week","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",2,"2020","August",0.0296043074627269,"Not Female",NA,"At least once daily","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",3,"2020","August",0.465118765151636,"Female",NA,"Several times a week","Good",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",4,"2020","August",1.23903811466,"Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",5,"2020","August",3.54329199629732,"Not Female",NA,"Throughout the day","Very Bad",NA,"For people like me, it doesn't matter what kind of government we have",NA,"Not a lot of trust"
"Algeria","ArabBarometer",6,"2020","August",0.215046735250972,"Not Female",NA,"At least once daily","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",8,"2020","August",1.06571596052429,"Female",NA,"Throughout the day","Good",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"No trust at all"
"Algeria","ArabBarometer",10,"2020","August",0.55903358617162,"Not Female",NA,"At least once daily","Good",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",11,"2020","August",0.518535325840315,"Not Female",NA,"Several times a week","Good",NA,"For people like me, it doesn't matter what kind of government we have",NA,"Not a lot of trust"
"Algeria","ArabBarometer",17,"2020","August",0.106192313409466,"Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",18,"2020","August",0.0799504084924744,"Not Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",20,"2020","August",1.01996247168311,"Not Female",NA,"Throughout the day","Very Bad",NA,"For people like me, it doesn't matter what kind of government we have",NA,"No trust at all"
"Algeria","ArabBarometer",21,"2020","August",0.310437459403291,"Not Female",NA,"At least once daily","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",22,"2020","August",0.209264206008933,"Female",NA,"Throughout the day","Very Bad",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",23,"2020","August",0.969870188788705,"Not Female",NA,"Throughout the day","Bad",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Not a lot of trust"
"Algeria","ArabBarometer",25,"2020","August",0.0437605662034421,"Not Female",NA,"Throughout the day","Very Good",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",26,"2020","August",0.374084986906579,"Not Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",27,"2020","August",0.453582243761594,"Not Female",NA,"Several times a week","Very Good",NA,"For people like me, it doesn't matter what kind of government we have",NA,"Not a lot of trust"
"Algeria","ArabBarometer",29,"2020","August",0.0751615844933064,"Not Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",30,"2020","August",0.192395581538354,"Not Female",NA,"Throughout the day","Good",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",31,"2020","August",0.0799504084924744,"Not Female",NA,"Throughout the day","Very Bad",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"No trust at all"
"Algeria","ArabBarometer",32,"2020","August",0.615987014054932,"Female",NA,"Throughout the day","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",33,"2020","August",0.969870188788705,"Not Female",NA,"I do not use the Internet","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",36,"2020","August",1.5717615725914,"Not Female",NA,"Less than once a week","Very Bad",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",37,"2020","August",0.671180029087426,"Female",NA,"Throughout the day","Good",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",38,"2020","August",1.5717615725914,"Not Female",NA,"Throughout the day",NA,NA,NA,NA,"Quite a lot of trust"
"Algeria","ArabBarometer",40,"2020","August",0.548169219554262,"Not Female",NA,"At least once daily","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",47,"2020","August",1.00355432700442,"Not Female",NA,"Throughout the day","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",48,"2020","August",0.515335292077159,"Not Female",NA,"At least once daily","Bad",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Quite a lot of trust"
